candidate_id,outer_fold,seed,epochs_ran,selected_epoch,refit_epochs,hit_epoch_cap,full_refit_input_records,estimator_parity,criterion_parity,resampling_parity,scheduler_state,sample_utilization,cnn_output_sequence_length
N2,4,42,58,10,10,False,253,True,True,True,"{""learning_rate"": 0.006788617836436681, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
N2,4,123,28,12,12,False,253,True,True,True,"{""learning_rate"": 0.006788617836436681, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
N2,4,155,60,11,11,True,253,True,True,True,"{""learning_rate"": 0.006788617836436681, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
N3,4,42,56,46,46,False,253,True,True,True,"{""learning_rate"": 0.009998806303266166, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
N3,4,123,35,24,24,False,253,True,True,True,"{""learning_rate"": 0.009998806303266166, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
N3,4,155,24,14,14,False,253,True,True,True,"{""learning_rate"": 0.009998806303266166, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
A1,4,42,69,59,59,False,253,True,True,True,"{""learning_rate"": 0.005937601783378149, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
A1,4,123,80,53,53,True,253,True,True,True,"{""learning_rate"": 0.005937601783378149, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
A1,4,155,80,49,49,True,253,True,True,True,"{""learning_rate"": 0.005937601783378149, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
A2,4,42,78,68,68,False,253,True,True,True,"{""learning_rate"": 0.005937601783378149, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
A2,4,123,21,11,11,False,253,True,True,True,"{""learning_rate"": 0.005937601783378149, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
A2,4,155,60,43,43,False,253,True,True,True,"{""learning_rate"": 0.005937601783378149, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
