dataset,scenario,model_id,outer_fold,selected_params,selected_inner_macro_f1,outer_rows_used_for_selection
student_mat,S0_EARLY_NO_GRADE,cnn_only,4,"{""outer_rows_used_for_selection"": false, ""params"": {""batch_size"": 64, ""class_weight"": ""balanced"", ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.15, ""fusion_hidden"": 16, ""input_projection"": 16, ""learning_rate"": 0.001, ""lstm_hidden"": 16, ""max_epochs"": 40, ""patience"": 6, ""weight_decay"": 0.0001}, ""selected_epochs"": 15, ""selected_inner_macro_f1"": 0.4535694788877807}",0.4535694788877807,False
student_mat,S0_EARLY_NO_GRADE,bilstm_only,0,"{""outer_rows_used_for_selection"": false, ""params"": {""batch_size"": 64, ""class_weight"": ""balanced"", ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.15, ""fusion_hidden"": 16, ""input_projection"": 16, ""learning_rate"": 0.001, ""lstm_hidden"": 16, ""max_epochs"": 40, ""patience"": 6, ""weight_decay"": 0.0001}, ""selected_epochs"": 4, ""selected_inner_macro_f1"": 0.3981866131462906}",0.3981866131462906,False
student_mat,S0_EARLY_NO_GRADE,bilstm_only,1,"{""outer_rows_used_for_selection"": false, ""params"": {""batch_size"": 64, ""class_weight"": ""balanced"", ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.15, ""fusion_hidden"": 16, ""input_projection"": 16, ""learning_rate"": 0.001, ""lstm_hidden"": 16, ""max_epochs"": 40, ""patience"": 6, ""weight_decay"": 0.0001}, ""selected_epochs"": 7, ""selected_inner_macro_f1"": 0.47283361856424694}",0.47283361856424694,False
student_mat,S0_EARLY_NO_GRADE,bilstm_only,2,"{""outer_rows_used_for_selection"": false, ""params"": {""batch_size"": 64, ""class_weight"": ""balanced"", ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.15, ""fusion_hidden"": 16, ""input_projection"": 16, ""learning_rate"": 0.001, ""lstm_hidden"": 16, ""max_epochs"": 40, ""patience"": 6, ""weight_decay"": 0.0001}, ""selected_epochs"": 5, ""selected_inner_macro_f1"": 0.42274554706887724}",0.42274554706887724,False
student_mat,S0_EARLY_NO_GRADE,bilstm_only,3,"{""outer_rows_used_for_selection"": false, ""params"": {""batch_size"": 64, ""class_weight"": ""balanced"", ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.15, ""fusion_hidden"": 16, ""input_projection"": 16, ""learning_rate"": 0.001, ""lstm_hidden"": 16, ""max_epochs"": 40, ""patience"": 6, ""weight_decay"": 0.0001}, ""selected_epochs"": 15, ""selected_inner_macro_f1"": 0.4704029724726971}",0.4704029724726971,False
student_mat,S0_EARLY_NO_GRADE,bilstm_only,4,"{""outer_rows_used_for_selection"": false, ""params"": {""batch_size"": 64, ""class_weight"": ""balanced"", ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.15, ""fusion_hidden"": 16, ""input_projection"": 16, ""learning_rate"": 0.001, ""lstm_hidden"": 16, ""max_epochs"": 40, ""patience"": 6, ""weight_decay"": 0.0001}, ""selected_epochs"": 6, ""selected_inner_macro_f1"": 0.43592913222284174}",0.43592913222284174,False
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm,0,"{""outer_rows_used_for_selection"": false, ""params"": {""batch_size"": 64, ""class_weight"": ""balanced"", ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.15, ""fusion_hidden"": 16, ""input_projection"": 16, ""learning_rate"": 0.001, ""lstm_hidden"": 16, ""max_epochs"": 40, ""patience"": 6, ""weight_decay"": 0.0001}, ""selected_epochs"": 21, ""selected_inner_macro_f1"": 0.4367358134131028}",0.4367358134131028,False
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm,1,"{""outer_rows_used_for_selection"": false, ""params"": {""batch_size"": 64, ""class_weight"": ""balanced"", ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.15, ""fusion_hidden"": 16, ""input_projection"": 16, ""learning_rate"": 0.001, ""lstm_hidden"": 16, ""max_epochs"": 40, ""patience"": 6, ""weight_decay"": 0.0001}, ""selected_epochs"": 19, ""selected_inner_macro_f1"": 0.4843376966117124}",0.4843376966117124,False
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm,2,"{""outer_rows_used_for_selection"": false, ""params"": {""batch_size"": 64, ""class_weight"": ""balanced"", ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.15, ""fusion_hidden"": 16, ""input_projection"": 16, ""learning_rate"": 0.001, ""lstm_hidden"": 16, ""max_epochs"": 40, ""patience"": 6, ""weight_decay"": 0.0001}, ""selected_epochs"": 17, ""selected_inner_macro_f1"": 0.41030375632902594}",0.41030375632902594,False
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm,3,"{""outer_rows_used_for_selection"": false, ""params"": {""batch_size"": 64, ""class_weight"": ""balanced"", ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.15, ""fusion_hidden"": 16, ""input_projection"": 16, ""learning_rate"": 0.001, ""lstm_hidden"": 16, ""max_epochs"": 40, ""patience"": 6, ""weight_decay"": 0.0001}, ""selected_epochs"": 26, ""selected_inner_macro_f1"": 0.3932153931889442}",0.3932153931889442,False
