dataset,information_level,sampler,fold,seed,pr_auc,f1,precision,recall,accuracy,macro_f1,balanced_accuracy,minority_recall,threshold,n_train,n_valid,epochs_run,n_train_sampled,n_train_original,pos_weight
oulad,35pct,smote,1,42,0.7945567722785286,0.6765986706394682,0.7274519467718088,0.6323907455012854,0.753149055283415,0.738497383134135,0.7344390155655451,0.6323907455012854,0.41,10954,5716,13,10954,9084,1.0749127864837646
oulad,50pct,smote,1,42,0.8346150831715251,0.7201565557729941,0.7445624683864441,0.6972998578872572,0.791734935372292,0.777155691629611,0.7739899644255919,0.6972998578872572,0.31,10954,5493,13,10954,8736,1.0749127864837646
oulad,75pct,smote,1,42,0.8775173896829334,0.7585551330798479,0.868020304568528,0.6736072031513787,0.8522969567745687,0.8260801356546963,0.8098964460464166,0.6736072031513787,0.59,10954,5159,13,10954,8235,1.0749127864837646
oulad,100pct,smote,1,42,0.913829532087081,0.8256944444444444,0.9369582348305753,0.7380509000620733,0.8994592429401161,0.8775249593457797,0.8571981289192685,0.7380509000620733,0.82,10954,4993,13,10954,8016,1.0749127864837646
oulad,20pct,adasyn,1,42,0.7288687879574436,0.6730607437321218,0.5966587112171837,0.7719027402547279,0.674702829398962,0.6746946230737904,0.6860696433384816,0.7719027402547279,0.14,10491,5973,11,10491,9443,1.0749127864837646
oulad,35pct,adasyn,1,42,0.7908098840318819,0.697267292912041,0.6948936170212766,0.6996572407883462,0.751924422673198,0.7435654781098439,0.7438262549299508,0.6996572407883462,0.33,11140,5716,11,11140,9084,1.0749127864837646
oulad,50pct,adasyn,1,42,0.8328754154582096,0.7225869195234622,0.7422577422577422,0.7039317858834675,0.7922810850172948,0.7782874943899867,0.775679671770829,0.7039317858834675,0.38,10667,5493,11,10667,8736,1.0749127864837646
oulad,75pct,adasyn,1,42,0.8746974458052764,0.7597799511002445,0.831438127090301,0.6994935284186832,0.8476448924210118,0.8241136485560832,0.8124907027072719,0.6994935284186832,0.68,10962,5159,11,10962,8235,1.0749127864837646
oulad,100pct,adasyn,1,42,0.9107155762156834,0.8153089887640449,0.9385610347615198,0.7206703910614525,0.8946525135189265,0.8708094397448691,0.8490992404745464,0.7206703910614525,0.94,11060,4993,11,11060,8016,1.0749127864837646
oulad,20pct,control,1,1201,0.7571657434029879,0.6841653799965689,0.6158122297714639,0.7695870320339637,0.6917796752050895,0.6916004274512844,0.7008786727289866,0.7695870320339637,0.17,9443,5973,14,9443,9443,1.0749127864837646
