dataset,scenario,model_id,outer_fold,runtime_seconds,study_total_seconds
student_por,S0_EARLY_NO_GRADE,xgboost,3,3.4449805000331253,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,mlp,3,3.783159299986437,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,logistic_regression,4,0.6239323999034241,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,random_forest,4,10.53684139996767,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,xgboost,4,3.6952817999990657,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,mlp,4,5.059111800044775,1169.5611943999538
student_por,S1_MID_G1_ONLY,logistic_regression,0,0.7357707999181002,1169.5611943999538
student_por,S1_MID_G1_ONLY,random_forest,0,10.611787800095044,1169.5611943999538
student_por,S1_MID_G1_ONLY,xgboost,0,3.8534185000462458,1169.5611943999538
student_por,S1_MID_G1_ONLY,mlp,0,5.08296909998171,1169.5611943999538
student_por,S1_MID_G1_ONLY,logistic_regression,1,0.6851863999618217,1169.5611943999538
student_por,S1_MID_G1_ONLY,random_forest,1,10.627251100027934,1169.5611943999538
student_por,S1_MID_G1_ONLY,xgboost,1,3.6200994999380782,1169.5611943999538
student_por,S1_MID_G1_ONLY,mlp,1,5.45201150001958,1169.5611943999538
student_por,S1_MID_G1_ONLY,logistic_regression,2,0.7612170999636874,1169.5611943999538
student_por,S1_MID_G1_ONLY,random_forest,2,10.533512699999848,1169.5611943999538
student_por,S1_MID_G1_ONLY,xgboost,2,3.677427400019951,1169.5611943999538
student_por,S1_MID_G1_ONLY,mlp,2,5.199393599992618,1169.5611943999538
student_por,S1_MID_G1_ONLY,logistic_regression,3,0.7588716000318527,1169.5611943999538
student_por,S1_MID_G1_ONLY,random_forest,3,10.543568899971431,1169.5611943999538
student_por,S1_MID_G1_ONLY,xgboost,3,3.644268999923952,1169.5611943999538
student_por,S1_MID_G1_ONLY,mlp,3,4.899379799957387,1169.5611943999538
student_por,S1_MID_G1_ONLY,logistic_regression,4,0.7451551000121981,1169.5611943999538
student_por,S1_MID_G1_ONLY,random_forest,4,10.651825199951418,1169.5611943999538
student_por,S1_MID_G1_ONLY,xgboost,4,3.579075300018303,1169.5611943999538
student_por,S1_MID_G1_ONLY,mlp,4,4.916775400051847,1169.5611943999538
student_por,S2_LATE_G1_G2,logistic_regression,0,0.8308423000853509,1169.5611943999538
student_por,S2_LATE_G1_G2,random_forest,0,10.49370730004739,1169.5611943999538
student_por,S2_LATE_G1_G2,xgboost,0,3.903887400054373,1169.5611943999538
student_por,S2_LATE_G1_G2,mlp,0,4.618312100064941,1169.5611943999538
student_por,S2_LATE_G1_G2,decision_tree,0,0.7720456999959424,1169.5611943999538
student_por,S2_LATE_G1_G2,hist_gradient_boosting,0,17.61818069999572,1169.5611943999538
student_por,S2_LATE_G1_G2,svm,0,1.702686199918389,1169.5611943999538
student_por,S2_LATE_G1_G2,logistic_regression,1,0.6814756999956444,1169.5611943999538
student_por,S2_LATE_G1_G2,random_forest,1,10.37463769991882,1169.5611943999538
student_por,S2_LATE_G1_G2,xgboost,1,3.94954910001252,1169.5611943999538
student_por,S2_LATE_G1_G2,mlp,1,4.629569199983962,1169.5611943999538
student_por,S2_LATE_G1_G2,decision_tree,1,0.756296900101006,1169.5611943999538
student_por,S2_LATE_G1_G2,hist_gradient_boosting,1,17.020963400020264,1169.5611943999538
student_por,S2_LATE_G1_G2,svm,1,1.707436199998483,1169.5611943999538
student_por,S2_LATE_G1_G2,logistic_regression,2,0.7130254000658169,1169.5611943999538
student_por,S2_LATE_G1_G2,random_forest,2,10.574467899976298,1169.5611943999538
student_por,S2_LATE_G1_G2,xgboost,2,3.8562986999750137,1169.5611943999538
student_por,S2_LATE_G1_G2,mlp,2,4.473556500044651,1169.5611943999538
student_por,S2_LATE_G1_G2,decision_tree,2,0.6862232000567019,1169.5611943999538
student_por,S2_LATE_G1_G2,hist_gradient_boosting,2,17.36304690001998,1169.5611943999538
student_por,S2_LATE_G1_G2,svm,2,1.7483774999855086,1169.5611943999538
student_por,S2_LATE_G1_G2,logistic_regression,3,0.7312401999952272,1169.5611943999538
student_por,S2_LATE_G1_G2,random_forest,3,10.341187700047158,1169.5611943999538
student_por,S2_LATE_G1_G2,xgboost,3,3.7348598999669775,1169.5611943999538
