domain,model,fold,seed,stage,pr_auc,roc_auc,accuracy,risk_precision,risk_recall,risk_f1,selected_threshold,train_pr_auc,generalization_gap,feature_count,outer_test_used
oulad,DT,0,1201,20pct,0.708558410619814,0.7486316249855759,0.6720949957591179,0.5986688851913478,0.7121931908155186,0.6505152775266678,0.4,0.7878856857629529,0.07932727514313898,96,False
oulad,DT,0,1201,35pct,0.7650266293832478,0.7931073681817321,0.6747179125528914,0.5700305810397553,0.809379070777247,0.6689395298761888,0.31,0.8226778384832631,0.05765120910001531,96,False
oulad,DT,0,1201,50pct,0.807878884292434,0.8352380721310656,0.7546236952939022,0.6507618283881316,0.7758126195028681,0.7078063672045355,0.42,0.8660343364235532,0.05815545213111917,96,False
oulad,DT,0,1201,75pct,0.8632933488882867,0.8846999042068054,0.8565022421524664,0.8478260869565217,0.7090909090909091,0.7722772277227723,0.67,0.9105129540694465,0.04721960518115986,96,False
oulad,DT,0,1201,FINAL-100,0.9614208785660445,0.9515966769645627,0.9264297612437534,0.9819189268008166,0.8779661016949153,0.9270374449339207,0.47,0.9688868053628733,0.007465926796828781,96,False
oulad,DT,0,2026,20pct,0.7082485418277796,0.7486254558410284,0.6720949957591179,0.5986688851913478,0.7121931908155186,0.6505152775266678,0.4,0.7879552726342143,0.07970673080643464,96,False
oulad,DT,0,2026,35pct,0.766154630736167,0.7932541046581002,0.6747179125528914,0.5700305810397553,0.809379070777247,0.6689395298761888,0.31,0.8226657805241935,0.056511149788026516,96,False
oulad,DT,0,2026,50pct,0.8064840696473717,0.8351115814134837,0.7546236952939022,0.6507618283881316,0.7758126195028681,0.7078063672045355,0.42,0.866081384553135,0.059597314905763255,96,False
oulad,DT,0,2026,75pct,0.8632371562637805,0.8850913408348849,0.8565022421524664,0.8478260869565217,0.7090909090909091,0.7722772277227723,0.67,0.9104691627867543,0.04723200652297377,96,False
oulad,DT,0,2026,FINAL-100,0.9614138771745251,0.9515928070299685,0.9264297612437534,0.9819189268008166,0.8779661016949153,0.9270374449339207,0.47,0.9688868053628733,0.007472928188348216,96,False
oulad,DT,1,42,20pct,0.6990692181520596,0.7306098807659045,0.6398794575590155,0.5643651258045641,0.744500192975685,0.6420369445831253,0.34,0.7934959358257657,0.09442671767370614,96,False
