dataset,scenario,variant,config_id,dropout,weight_decay,use_feature_selection,prediction_mode,threshold_low,selection_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-por,midterm,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,low_f1_tuned,0.35,0.4946047951673988,0.5838150289017341,0.4857832988267771,0.49207062066343504,0.4871481085752361,0.525,0.49411764705882355,3.8644543867315986,-0.48280166274461234,0.7184553258910574
student-por,midterm,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,low_recall_priority,0.05,0.7771349862258954,0.41040462427745666,0.4063856415134735,0.4648536260811709,0.35409064573541715,0.875,0.3856749311294766,5.862752679314163,-2.412792163558512,0.7184553258910574
student-por,midterm,fusion_cnn_bilstm_context,default,0.15,0.0001,True,argmax,,0.7614481169835071,0.8111753371868978,0.7816117216117217,0.7463834236289326,0.7614481169835071,0.6,0.6620689655172414,2.4926674741733086,0.3830707141972469,0.8038043496925706
student-por,midterm,fusion_cnn_bilstm_context,default,0.15,0.0001,True,low_threshold_tuned,0.075,0.86881220916552,0.7013487475915221,0.6930868394956793,0.7813884136488927,0.6948205976157715,0.9625,0.5900383141762452,3.5581462342457844,-0.2570549979652501,0.8038043496925706
student-por,midterm,fusion_cnn_bilstm_context,default,0.15,0.0001,True,low_f1_tuned,0.44999999999999996,0.6930789346989393,0.8131021194605009,0.776438202381379,0.7663934036688528,0.7712423912470835,0.675,0.6923076923076923,2.5725503715686866,0.34289546029583495,0.8038043496925706
student-por,midterm,fusion_cnn_bilstm_context,default,0.15,0.0001,True,low_recall_priority,0.075,0.8880076628352491,0.7013487475915221,0.6930868394956793,0.7813884136488927,0.6948205976157715,0.9625,0.5900383141762452,3.5581462342457844,-0.2570549979652501,0.8038043496925706
student-por,late,sequence_cnn_bilstm_only,default,0.15,0.0001,True,argmax,,0.8488248343989216,0.8786127167630058,0.864448760947361,0.8375499001996008,0.8488248343989216,0.7875,0.7730061349693251,2.416824458339444,0.42004151332318906,0.8691295636871647
student-por,late,sequence_cnn_bilstm_only,default,0.15,0.0001,True,low_threshold_tuned,0.075,0.9053363766146019,0.7861271676300579,0.7810707179872588,0.8371756487025949,0.7759610760417194,0.975,0.6446280991735537,3.1529721122545795,0.012932273788881399,0.8691295636871647
student-por,late,sequence_cnn_bilstm_only,default,0.15,0.0001,True,low_f1_tuned,0.3,0.7853812102578306,0.8747591522157996,0.8518683704714859,0.8609031936127746,0.8508235174991187,0.8875,0.7845303867403315,2.552530951465393,0.3530827568208359,0.8691295636871647
student-por,late,sequence_cnn_bilstm_only,default,0.15,0.0001,True,low_recall_priority,0.075,0.9089256198347108,0.7861271676300579,0.7810707179872588,0.8371756487025949,0.7759610760417194,0.975,0.6446280991735537,3.1529721122545795,0.012932273788881399,0.8691295636871647
student-por,late,context_mlp_only,default,0.15,0.0001,True,argmax,,0.4247440888950323,0.653179190751445,0.5705303530447358,0.43059951525520385,0.4247440888950323,0.3125,0.3968253968253968,3.3832723496501895,-0.1365292362610142,0.6727437097328017
student-por,late,context_mlp_only,default,0.15,0.0001,True,low_threshold_tuned,0.05,0.7278810273889361,0.4624277456647399,0.4843032957863997,0.4870615911035073,0.36180293539696007,0.925,0.42045454545454547,5.4431286339407965,-1.9417373115644572,0.6727437097328017
