dataset,inner_fold,seed,stage,family,pr_auc,risk_f1,risk_recall,accuracy,ece,brier,outer_test_used
uci,1,1201,S0,LR,0.5144198469971109,0.4774774774774775,0.8983050847457628,0.5735294117647058,0.16442932869136545,0.16698810239423695,False
uci,1,1201,S0,DT,0.4634926499510092,0.5421686746987951,0.7627118644067796,0.7205882352941176,0.19155364162297586,0.19621453053347634,False
uci,1,1201,S0,RF,0.5467474815384532,0.5549132947976878,0.8135593220338984,0.7169117647058824,0.08314404941961041,0.13325679580182045,False
uci,1,1201,S0,SVM,0.5386474915289402,0.4927536231884058,0.864406779661017,0.6139705882352942,0.05136642259900073,0.134610151378076,False
uci,1,1201,S0,MLP,0.5643559503378748,0.46938775510204084,0.3898305084745763,0.8088235294117647,0.15022873596664377,0.15807007377299098,False
uci,1,1201,S1,LR,0.8368225973647184,0.7226890756302521,0.7288135593220338,0.8786764705882353,0.08939225097582061,0.09721277735762798,False
uci,1,1201,S1,DT,0.7502358724691726,0.6915887850467289,0.6271186440677966,0.8786764705882353,0.08174141217576235,0.09132289270042823,False
uci,1,1201,S1,RF,0.8393445113051518,0.7079646017699115,0.6779661016949152,0.8786764705882353,0.05459847159676868,0.07796926216683894,False
uci,1,1201,S1,SVM,0.8276474806678988,0.7027027027027027,0.6610169491525424,0.8786764705882353,0.06291475982968223,0.08114528881294213,False
uci,1,1201,S1,MLP,0.8264544688330303,0.704,0.7457627118644068,0.8639705882352942,0.0981121838198565,0.09597161276291079,False
uci,1,1201,S2,LR,0.927914625500575,0.8333333333333334,0.7627118644067796,0.9338235294117647,0.04250822232118414,0.05456890921935201,False
uci,1,1201,S2,DT,0.874548961014386,0.7659574468085106,0.9152542372881356,0.8786764705882353,0.07597626692416186,0.07202374594585177,False
uci,1,1201,S2,RF,0.9273584657833854,0.762589928057554,0.8983050847457628,0.8786764705882353,0.06057824259478282,0.056784442682222304,False
uci,1,1201,S2,SVM,0.9181467303287368,0.723404255319149,0.576271186440678,0.9044117647058824,0.03360581465852027,0.05490875630578039,False
uci,1,1201,S2,MLP,0.9312455841897022,0.8076923076923077,0.711864406779661,0.9264705882352942,0.06254171102260776,0.055670002602792236,False
uci,1,2026,S0,LR,0.5144198469971109,0.4774774774774775,0.8983050847457628,0.5735294117647058,0.16442932869136545,0.16698810239423695,False
uci,1,2026,S0,DT,0.4634926499510092,0.5421686746987951,0.7627118644067796,0.7205882352941176,0.1915536416229759,0.19621453053347637,False
uci,1,2026,S0,RF,0.5812068438908362,0.5555555555555556,0.7627118644067796,0.7352941176470589,0.09508281414129598,0.13386613668669126,False
uci,1,2026,S0,SVM,0.5389703325297472,0.4711111111111111,0.8983050847457628,0.5625,0.05166857063464014,0.13479853556994026,False
uci,1,2026,S0,MLP,0.547803018019134,0.5040650406504065,0.5254237288135594,0.7757352941176471,0.16734201093007228,0.1683258138538953,False
uci,1,2026,S1,LR,0.8368225973647184,0.7226890756302521,0.7288135593220338,0.8786764705882353,0.08939225097582061,0.09721277735762798,False
uci,1,2026,S1,DT,0.7502358724691726,0.6915887850467289,0.6271186440677966,0.8786764705882353,0.08174141217576235,0.09132289270042825,False
uci,1,2026,S1,RF,0.8407135290343768,0.6909090909090909,0.6440677966101694,0.875,0.07338525467804874,0.07823059302353869,False
uci,1,2026,S1,SVM,0.8276474806678988,0.6909090909090909,0.6440677966101694,0.875,0.05582772176236257,0.08108280649803908,False
uci,1,2026,S1,MLP,0.8212798352279654,0.7076923076923077,0.7796610169491526,0.8602941176470589,0.09440271353850285,0.09069136086226956,False
uci,1,2026,S2,LR,0.927914625500575,0.8333333333333334,0.7627118644067796,0.9338235294117647,0.04250822232118414,0.05456890921935201,False
uci,1,2026,S2,DT,0.874548961014386,0.7659574468085106,0.9152542372881356,0.8786764705882353,0.07597626692416186,0.07202374594585179,False
uci,1,2026,S2,RF,0.9238024953653776,0.8,0.7457627118644068,0.9191176470588235,0.06714047115436401,0.05701292490132542,False
uci,1,2026,S2,SVM,0.918191467910862,0.723404255319149,0.576271186440678,0.9044117647058824,0.03909063099183581,0.05488409503166606,False
uci,1,2026,S2,MLP,0.9250516739215988,0.8067226890756303,0.8135593220338984,0.9154411764705882,0.06504024916528459,0.06631352420046188,False
uci,2,42,S0,LR,0.447593829791751,0.47953216374269003,0.7192982456140351,0.6751824817518248,0.2048332922497674,0.20278806316025222,False
uci,2,42,S0,DT,0.3818916668643392,0.4716981132075472,0.8771929824561403,0.5912408759124088,0.20723869590226002,0.21333331033072397,False
uci,2,42,S0,RF,0.480892329577089,0.43137254901960786,0.9649122807017544,0.4708029197080292,0.08756721703796301,0.14262999601017098,False
uci,2,42,S0,SVM,0.4722443081349375,0.4756756756756757,0.7719298245614035,0.6459854014598541,0.0665472094276157,0.1451023021574799,False
uci,2,42,S0,MLP,0.3924511830168514,0.42990654205607476,0.40350877192982454,0.7773722627737226,0.20051632103620726,0.20341865528800723,False
uci,2,42,S1,LR,0.7480456383517338,0.6896551724137931,0.8771929824561403,0.8357664233576643,0.10043357503376779,0.11102841031645286,False
uci,2,42,S1,DT,0.7397724357485702,0.7105263157894737,0.9473684210526315,0.8394160583941606,0.10006041775265508,0.10244594690068193,False
uci,2,42,S1,RF,0.8025173227989303,0.6875,0.9649122807017544,0.8175182481751825,0.08558358064496505,0.0782501897614782,False
uci,2,42,S1,SVM,0.8160374527442827,0.7152317880794702,0.9473684210526315,0.843065693430657,0.04432301518101272,0.07769988384859493,False
uci,2,42,S1,MLP,0.7236183422606165,0.6324786324786325,0.6491228070175439,0.843065693430657,0.13083250548986328,0.12853780213610477,False
uci,2,42,S2,LR,0.8502648333921811,0.7819548872180451,0.9122807017543859,0.8941605839416058,0.08787915009227623,0.0887004395238983,False
uci,2,42,S2,DT,0.8623824078710104,0.7611940298507462,0.8947368421052632,0.8832116788321168,0.12134679886101815,0.10005154005702416,False
uci,2,42,S2,RF,0.9202856575270697,0.8188976377952756,0.9122807017543859,0.916058394160584,0.07533797202630214,0.058790791093979194,False
uci,2,42,S2,SVM,0.8745272078335838,0.7846153846153846,0.8947368421052632,0.8978102189781022,0.043676915467950016,0.06568359863798627,False
