dataset,scenario,baseline_selected_by,baseline_model,baseline_strategy,baseline_locked_macro_f1,baseline_locked_recall_low,baseline_locked_f1_low,deep_variant,deep_config_id,deep_prediction_mode,deep_cv_selected,deep_locked_macro_f1,deep_locked_recall_low,deep_locked_f1_low,macro_f1_gap_deep_minus_baseline,recall_low_gap_deep_minus_baseline,f1_low_gap_deep_minus_baseline
student-por,late,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.8379381170078845,0.65,0.7222222222222222,sequence_cnn_bilstm_only,default,argmax,False,0.8696016637338025,0.75,0.7894736842105263,0.03166354672591809,0.09999999999999998,0.06725146198830412
student-por,late,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.8379381170078845,0.65,0.7222222222222222,sequence_cnn_bilstm_only,default,low_threshold_tuned,False,0.7989616650442682,1.0,0.6666666666666666,-0.03897645196361621,0.35,-0.05555555555555558
student-por,late,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.8379381170078845,0.65,0.7222222222222222,sequence_cnn_bilstm_only,default,low_f1_tuned,True,0.8782919208451124,0.9,0.8181818181818182,0.040353803837227975,0.25,0.09595959595959602
student-por,late,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.8379381170078845,0.65,0.7222222222222222,sequence_cnn_bilstm_only,default,low_recall_priority,False,0.7989616650442682,1.0,0.6666666666666666,-0.03897645196361621,0.35,-0.05555555555555558
student-por,late,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.8379381170078845,0.65,0.7222222222222222,context_mlp_only,default,argmax,False,0.5328238757558129,0.35,0.42424242424242425,-0.30511424125207154,-0.30000000000000004,-0.29797979797979796
student-por,late,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.8379381170078845,0.65,0.7222222222222222,context_mlp_only,default,low_threshold_tuned,False,0.41759259259259257,0.7,0.35,-0.4203455244152919,0.04999999999999993,-0.37222222222222223
student-por,late,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.8379381170078845,0.65,0.7222222222222222,context_mlp_only,default,low_f1_tuned,False,0.527337213262843,0.45,0.43902439024390244,-0.31060090374504146,-0.2,-0.28319783197831977
student-por,late,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.8379381170078845,0.65,0.7222222222222222,context_mlp_only,default,low_recall_priority,False,0.41759259259259257,0.7,0.35,-0.4203455244152919,0.04999999999999993,-0.37222222222222223
student-por,late,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.8379381170078845,0.65,0.7222222222222222,context_mlp_v2,dropout0.1_wd0.0001_fs1,argmax,False,0.7105904508696134,0.4,0.5,-0.1273476661382711,-0.25,-0.2222222222222222
student-por,late,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.8379381170078845,0.65,0.7222222222222222,context_mlp_v2,dropout0.1_wd0.0001_fs1,low_threshold_tuned,False,0.6662553133141368,0.85,0.5151515151515151,-0.17168280369374767,0.19999999999999996,-0.20707070707070707
