candidate_id,seed,outer_fold,class_label,precision,recall,f1,support
N3,42,3,1,0.9310344827586207,0.8709677419354839,0.9,31
N3,42,3,2,1.0,0.8181818181818182,0.9,11
N3,42,4,0,0.9230769230769231,0.6,0.7272727272727273,20
N3,42,4,1,0.7575757575757576,0.8064516129032258,0.78125,31
N3,42,4,2,0.7058823529411765,1.0,0.8275862068965517,12
N3,123,0,0,0.7407407407407407,0.9523809523809523,0.8333333333333334,21
N3,123,0,1,0.9230769230769231,0.7741935483870968,0.8421052631578947,31
N3,123,0,2,1.0,0.9166666666666666,0.9565217391304348,12
N3,123,1,0,0.8076923076923077,1.0,0.8936170212765957,21
N3,123,1,1,1.0,0.6,0.75,30
N3,123,1,2,0.631578947368421,1.0,0.7741935483870968,12
N3,123,2,0,0.8,0.7619047619047619,0.7804878048780488,21
N3,123,2,1,0.8333333333333334,0.8064516129032258,0.819672131147541,31
N3,123,2,2,0.8461538461538461,1.0,0.9166666666666666,11
N3,123,3,0,0.75,1.0,0.8571428571428571,21
N3,123,3,1,0.9230769230769231,0.7741935483870968,0.8421052631578947,31
N3,123,3,2,1.0,0.8181818181818182,0.9,11
N3,123,4,0,0.8181818181818182,0.9,0.8571428571428571,20
N3,123,4,1,0.9090909090909091,0.6451612903225806,0.7547169811320755,31
N3,123,4,2,0.631578947368421,1.0,0.7741935483870968,12
N3,155,0,0,0.7407407407407407,0.9523809523809523,0.8333333333333334,21
N3,155,0,1,0.9230769230769231,0.7741935483870968,0.8421052631578947,31
N3,155,0,2,1.0,0.9166666666666666,0.9565217391304348,12
N3,155,1,0,0.3333333333333333,1.0,0.5,21
N3,155,1,1,0.0,0.0,0.0,30
N3,155,1,2,0.0,0.0,0.0,12
N3,155,2,0,0.8,0.7619047619047619,0.7804878048780488,21
N3,155,2,1,0.8333333333333334,0.8064516129032258,0.819672131147541,31
N3,155,2,2,0.8461538461538461,1.0,0.9166666666666666,11
N3,155,3,0,0.84,1.0,0.9130434782608695,21
N3,155,3,1,1.0,0.8387096774193549,0.9122807017543859,31
N3,155,3,2,0.9166666666666666,1.0,0.9565217391304348,11
N3,155,4,0,0.6896551724137931,1.0,0.8163265306122449,20
N3,155,4,1,1.0,0.5806451612903226,0.7346938775510204,31
N3,155,4,2,0.75,1.0,0.8571428571428571,12
R0,42,0,0,0.8181818181818182,0.8571428571428571,0.8372093023255814,21
R0,42,0,1,0.9,0.8709677419354839,0.8852459016393442,31
R0,42,0,2,1.0,1.0,1.0,12
