domain,model,fold,seed,stage,ap,roc_auc,risk_f1,risk_recall,recall_at_20,n,prevalence,n_models,one_weight_all_stages
uci,MLP,1,1201,S1,0.6615323780539243,0.8446373850868233,0.6271186440677966,0.6727272727272727,0.5272727272727272,233,0.23605150214592274,1,True
uci,MLP,1,1201,S2,0.815445003698073,0.926046986721144,0.7222222222222222,0.7090909090909091,0.6545454545454545,233,0.23605150214592274,1,True
uci,LR,1,2026,S0,0.3916815093631808,0.642288049029622,0.28888888888888886,0.23636363636363636,0.3090909090909091,233,0.23605150214592274,1,True
uci,LR,1,2026,S1,0.7496185999093763,0.904187946884576,0.7014925373134329,0.8545454545454545,0.6181818181818182,233,0.23605150214592274,1,True
uci,LR,1,2026,S2,0.8984159067102045,0.959244126659857,0.7964601769911505,0.8181818181818182,0.7272727272727273,233,0.23605150214592274,1,True
uci,DT,1,2026,S0,0.4619494069253872,0.7620020429009192,0.4842105263157895,0.8363636363636363,0.45454545454545453,233,0.23605150214592274,1,True
uci,DT,1,2026,S1,0.682270527977825,0.9113891726251278,0.7358490566037735,0.7090909090909091,0.6363636363636364,233,0.23605150214592274,1,True
uci,DT,1,2026,S2,0.774504271246051,0.923953013278856,0.7358490566037735,0.7090909090909091,0.6363636363636364,233,0.23605150214592274,1,True
uci,RF,1,2026,S0,0.4556026227982755,0.7867211440245148,0.5130890052356021,0.8909090909090909,0.41818181818181815,233,0.23605150214592274,1,True
uci,RF,1,2026,S1,0.6941871868989086,0.9309499489274771,0.673469387755102,0.6,0.6545454545454545,233,0.23605150214592274,1,True
uci,RF,1,2026,S2,0.8703469193559116,0.9592441266598569,0.7967479674796748,0.8909090909090909,0.6909090909090909,233,0.23605150214592274,1,True
uci,SVM,1,2026,S0,0.3233544784550625,0.629826353421859,0.3969465648854962,0.4727272727272727,0.2909090909090909,233,0.23605150214592274,1,True
uci,SVM,1,2026,S1,0.6931683143322461,0.8881511746680286,0.6923076923076923,0.8181818181818182,0.6,233,0.23605150214592274,1,True
uci,SVM,1,2026,S2,0.8201754829205601,0.9271705822267621,0.7538461538461538,0.8909090909090909,0.6727272727272727,233,0.23605150214592274,1,True
uci,XGB,1,2026,S0,0.45410944555893584,0.7642492339121553,0.5507246376811594,0.6909090909090909,0.4727272727272727,233,0.23605150214592274,1,True
uci,XGB,1,2026,S1,0.7533861329460994,0.9189989785495404,0.6666666666666666,0.6545454545454545,0.6363636363636364,233,0.23605150214592274,1,True
uci,XGB,1,2026,S2,0.869269629085004,0.9542390194075587,0.75,0.7636363636363637,0.6909090909090909,233,0.23605150214592274,1,True
uci,CatBoost,1,2026,S0,0.45174606942091783,0.7397344228804903,0.38636363636363635,0.3090909090909091,0.41818181818181815,233,0.23605150214592274,1,True
uci,CatBoost,1,2026,S1,0.7007246407132144,0.9293156281920326,0.6136363636363636,0.4909090909090909,0.6727272727272727,233,0.23605150214592274,1,True
uci,CatBoost,1,2026,S2,0.771711023738062,0.9445352400408581,0.7933884297520661,0.8727272727272727,0.6909090909090909,233,0.23605150214592274,1,True
uci,MLP,1,2026,S0,0.4757437703670471,0.66414708886619,0.4126984126984127,0.4727272727272727,0.34545454545454546,233,0.23605150214592274,1,True
uci,MLP,1,2026,S1,0.7105911175118731,0.8744637385086823,0.5925925925925926,0.5818181818181818,0.5636363636363636,233,0.23605150214592274,1,True
uci,MLP,1,2026,S2,0.8606972883103152,0.9454545454545455,0.6956521739130435,0.5818181818181818,0.7090909090909091,233,0.23605150214592274,1,True
uci,LR,2,42,S0,0.41673031842166147,0.6866055456171736,0.4576271186440678,0.5192307692307693,0.38461538461538464,224,0.23214285714285715,1,True
uci,LR,2,42,S1,0.8144559348103795,0.9265429338103757,0.7,0.8076923076923077,0.6538461538461539,224,0.23214285714285715,1,True
uci,LR,2,42,S2,0.9251325660309666,0.9731663685152058,0.8380952380952381,0.8461538461538461,0.7692307692307693,224,0.23214285714285715,1,True
uci,DT,2,42,S0,0.4625380907089952,0.7483228980322004,0.5636363636363636,0.5961538461538461,0.46153846153846156,224,0.23214285714285715,1,True
uci,DT,2,42,S1,0.7359019038218003,0.918884168157424,0.6825396825396826,0.8269230769230769,0.6730769230769231,224,0.23214285714285715,1,True
uci,DT,2,42,S2,0.7359019038218003,0.918884168157424,0.6825396825396826,0.8269230769230769,0.6730769230769231,224,0.23214285714285715,1,True
uci,RF,2,42,S0,0.5796197259221727,0.8256932021466906,0.5751633986928104,0.8461538461538461,0.5769230769230769,224,0.23214285714285715,1,True
uci,RF,2,42,S1,0.7137641462492547,0.9319096601073344,0.7796610169491526,0.8846153846153846,0.6730769230769231,224,0.23214285714285715,1,True
uci,RF,2,42,S2,0.8348779831055644,0.9540474060822899,0.784,0.9423076923076923,0.7115384615384616,224,0.23214285714285715,1,True
uci,SVM,2,42,S0,0.3955949272447905,0.6882826475849733,0.4507042253521127,0.6153846153846154,0.40384615384615385,224,0.23214285714285715,1,True
uci,SVM,2,42,S1,0.8102093132826311,0.9233005366726297,0.6615384615384615,0.8269230769230769,0.6538461538461539,224,0.23214285714285715,1,True
uci,SVM,2,42,S2,0.8759265776761296,0.9530411449016101,0.7153284671532847,0.9423076923076923,0.7115384615384616,224,0.23214285714285715,1,True
uci,XGB,2,42,S0,0.44301624174256826,0.7580500894454384,0.5571428571428572,0.75,0.4423076923076923,224,0.23214285714285715,1,True
uci,XGB,2,42,S1,0.7124089486792491,0.915474060822898,0.6666666666666666,0.6538461538461539,0.5961538461538461,224,0.23214285714285715,1,True
uci,XGB,2,42,S2,0.8324298860004672,0.9484570661896243,0.7833333333333333,0.9038461538461539,0.6346153846153846,224,0.23214285714285715,1,True
uci,CatBoost,2,42,S0,0.4843710827482272,0.7618515205724506,0.5369127516778524,0.7692307692307693,0.40384615384615385,224,0.23214285714285715,1,True
uci,CatBoost,2,42,S1,0.7362022507652697,0.9311270125223614,0.7183098591549296,0.9807692307692307,0.6730769230769231,224,0.23214285714285715,1,True
uci,CatBoost,2,42,S2,0.7897469255069804,0.9470035778175313,0.8,0.9615384615384616,0.7115384615384616,224,0.23214285714285715,1,True
uci,MLP,2,42,S0,0.4710436732889436,0.7108676207513417,0.4864864864864865,0.6923076923076923,0.4423076923076923,224,0.23214285714285715,1,True
uci,MLP,2,42,S1,0.7603612690216179,0.8858452593917711,0.6515151515151515,0.8269230769230769,0.6538461538461539,224,0.23214285714285715,1,True
uci,MLP,2,42,S2,0.8767337462861251,0.9464445438282647,0.7766990291262136,0.7692307692307693,0.7115384615384616,224,0.23214285714285715,1,True
uci,LR,2,1201,S0,0.41673031842166147,0.6866055456171736,0.4576271186440678,0.5192307692307693,0.38461538461538464,224,0.23214285714285715,1,True
uci,LR,2,1201,S1,0.8144559348103795,0.9265429338103757,0.7,0.8076923076923077,0.6538461538461539,224,0.23214285714285715,1,True
