candidate_id,seed,outer_fold,actual,predicted,count
M2,155,3,0,1,0
M2,155,3,0,2,0
M2,155,3,1,0,3
M2,155,3,1,1,28
M2,155,3,1,2,0
M2,155,3,2,0,0
M2,155,3,2,1,2
M2,155,3,2,2,9
M2,155,4,0,0,18
M2,155,4,0,1,2
M2,155,4,0,2,0
M2,155,4,1,0,4
M2,155,4,1,1,27
M2,155,4,1,2,0
M2,155,4,2,0,0
M2,155,4,2,1,1
M2,155,4,2,2,11
N0,42,0,0,0,18
N0,42,0,0,1,3
N0,42,0,0,2,0
N0,42,0,1,0,4
N0,42,0,1,1,27
N0,42,0,1,2,0
N0,42,0,2,0,0
N0,42,0,2,1,0
N0,42,0,2,2,12
N0,42,1,0,0,21
N0,42,1,0,1,0
N0,42,1,0,2,0
N0,42,1,1,0,3
N0,42,1,1,1,25
N0,42,1,1,2,2
N0,42,1,2,0,0
N0,42,1,2,1,2
N0,42,1,2,2,10
N0,42,2,0,0,13
N0,42,2,0,1,8
N0,42,2,0,2,0
N0,42,2,1,0,0
N0,42,2,1,1,29
N0,42,2,1,2,2
N0,42,2,2,0,0
N0,42,2,2,1,2
N0,42,2,2,2,9
N0,42,3,0,0,21
N0,42,3,0,1,0
N0,42,3,0,2,0
N0,42,3,1,0,3
N0,42,3,1,1,28
N0,42,3,1,2,0
N0,42,3,2,0,0
N0,42,3,2,1,2
N0,42,3,2,2,9
N0,42,4,0,0,19
N0,42,4,0,1,1
N0,42,4,0,2,0
N0,42,4,1,0,5
N0,42,4,1,1,26
N0,42,4,1,2,0
N0,42,4,2,0,0
N0,42,4,2,1,1
N0,42,4,2,2,11
N0,123,0,0,0,19
N0,123,0,0,1,2
N0,123,0,0,2,0
N0,123,0,1,0,6
N0,123,0,1,1,25
N0,123,0,1,2,0
N0,123,0,2,0,0
N0,123,0,2,1,1
N0,123,0,2,2,11
N0,123,1,0,0,18
N0,123,1,0,1,3
N0,123,1,0,2,0
N0,123,1,1,0,5
N0,123,1,1,1,23
N0,123,1,1,2,2
N0,123,1,2,0,0
N0,123,1,2,1,2
