dataset,task,stage,model,fold,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,pr_auc,roc_auc,nll,brier,ece,rows
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,0,7319,0.4177215189873418,0.4096459096459097,0.4065333643338758,0.4096459096459097,0.40197662017622876,0.44430350315940653,0.4177215189873418,0.4268287743974533,0.4612190056483469,0.6456208100076025,1.0357244716494394,0.6409878085041492,0.17490658467258408,79
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,3,42,0.7341772151898734,0.7848403058929375,0.7380032206119163,0.7848403058929375,0.7350154868928005,0.7702409343851281,0.7341772151898734,0.7218814160155222,0.8037741745424608,0.883904376421543,0.6905709021879542,0.42889921983912127,0.16834328623166606,79
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,4,42,0.6962025316455697,0.7544759334233019,0.6964271874757809,0.7544759334233019,0.6947368421052631,0.7331912802144925,0.6962025316455697,0.6818121252498335,0.8570679505535246,0.9201127364856263,0.5716376255811769,0.36334611381216575,0.1623433874326606,79
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,1,42,0.7341772151898734,0.7551892551892552,0.7851731601731601,0.7551892551892552,0.748047640584954,0.7723162913036331,0.7341772151898734,0.7300391025310731,0.8376495347571996,0.9028941184601562,0.6039028049546964,0.371829698499967,0.0789934443262688,79
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,2,42,0.7088607594936709,0.761808367071525,0.7061923583662715,0.761808367071525,0.719802524419701,0.716915995397008,0.7088607594936709,0.7034564865159358,0.8788740320667111,0.9168693144755525,0.6029280377172832,0.37372266716268654,0.1119389102377949,79
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,0,42,0.6455696202531646,0.6758241758241758,0.6987737843551797,0.6758241758241758,0.6593840579710145,0.684128776728129,0.6455696202531646,0.6342336268574572,0.8434344525945526,0.8949391803165389,0.6496097212916422,0.41671892879712086,0.1218501851799931,79
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,3,1201,0.7088607594936709,0.7551506972559604,0.7050925925925925,0.7551506972559604,0.7158772262220539,0.7238045007032349,0.7088607594936709,0.7015296357941492,0.7983797381242397,0.8877244904285803,0.6385806981239702,0.3982336663470851,0.09665020804248449,79
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,4,1201,0.7468354430379747,0.7814664867296446,0.7371237458193979,0.7814664867296446,0.7454155751369375,0.7706108970831042,0.7468354430379747,0.7479327507152095,0.87664114439236,0.9173345569702928,0.6187404584773222,0.39020588286235863,0.12452627035645346,79
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,1,1201,0.7215189873417721,0.7423687423687424,0.7526719096592055,0.7423687423687424,0.7319004524886878,0.7470728326709397,0.7215189873417721,0.7171086545621169,0.8482017286570617,0.9030041237588408,0.592308477754218,0.363321543388912,0.11267498957204859,79
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,2,1201,0.7215189873417721,0.7705802968960863,0.7193043884220356,0.7705802968960863,0.735925925925926,0.7224320107789952,0.7215189873417721,0.7160618846694796,0.8905508522205995,0.9265497721649932,0.5510557249910271,0.34249113340605897,0.13176208429518887,79
